132759,3,0
132760,5,0
132761,2,0
132762,4,0
132763,2,0
132764,2,1
132765,1,1
132766,3,1
132767,0,1
132768,3,1
132769,1,1
132770,5,0
132771,0,0
132772,2,1
132773,1,4
132774,0,2
132775,0,2
132776,0,2
132777,0,1
132778,2,1
132779,2,1
132780,2,1
132781,0,2
132782,2,0
132783,2,1
132784,1,0
132785,0,4
132786,2,1
132787,4,2
132788,0,2
132789,2,1
132790,2,3
132791,1,1
132792,2,0
132793,0,2
132794,4,0
132795,1,5
132796,1,1
132797,1,1
132798,1,2
132799,4,0
132800,0,3
132801,0,2
132802,3,3
132803,1,0
132804,4,1
132805,3,3
132806,0,2
132807,6,0
132808,2,2
132809,3,0
132810,1,1
132811,2,1
132812,5,0
132813,1,1
132814,1,1
132815,3,0
132816,2,2
132817,1,4
132818,0,3
132819,0,1
132820,1,0
132821,2,1
132822,1,0
132823,1,2
132824,1,3
132825,1,0
132826,9,0
132827,2,0
132828,3,0
132829,0,2
132830,2,0
132831,2,1
132832,3,0
132833,0,3
132834,3,0
132835,2,3
132836,1,0
132837,4,1
132838,2,0
132839,5,1
132840,3,0
132841,0,4
132842,0,2
132843,4,0
132844,0,5
132845,1,4
132846,4,0
132847,1,5
132848,8,0
132849,0,1
132850,1,0
132851,2,1
132852,0,4
132853,2,0
132854,1,0
132855,3,0
132856,0,2
132857,2,1
132858,2,3
132859,1,3
132860,1,1
132861,0,6
132862,1,2
132863,2,0
132864,0,4
132865,1,1
132866,1,0
132867,5,0
132868,1,2
132869,1,1
132870,2,4
132871,2,1
132872,0,4
132873,2,0
132874,6,0
132875,1,2
132876,0,4
132877,2,1
132878,4,0
132879,0,3
132880,3,0
132881,2,4
132882,1,0
132883,4,1
132884,4,2
132885,4,0
132886,0,0
132887,1,0
132888,4,0
132889,1,1
132890,1,1
132891,1,2
132892,1,1
132893,0,2
132894,0,4
132895,1,2
132896,3,2
132897,0,0
132898,0,2
132899,0,4
132900,0,4
132901,1,0
132902,0,3
132903,5,3
132904,1,3
132905,1,5
132906,0,4
132907,3,0
132908,4,2
132909,1,2
132910,0,0
132911,3,1
132912,1,1
132913,3,0
132914,0,3
132915,2,1
132916,3,1
132917,4,0
132918,9,0
132919,0,0
132920,2,1
132921,2,0
132922,3,0
132923,1,0
132924,0,1
132925,1,0
132926,0,0
132927,1,0
132928,0,3
132929,4,1
132930,1,1
132931,0,4
132932,1,1
132933,2,0
132934,0,2
132935,1,2
132936,1,0
132937,6,0
132938,0,5
132939,0,3
132940,1,1
132941,0,1
132942,2,0
132943,2,0
132944,0,6
132945,2,1
132946,1,2
132947,0,4
132948,2,0
132949,1,1
132950,3,0
132951,2,0
132952,2,3
132953,1,1
132954,1,1
132955,1,0
132956,3,1
132957,0,5
132958,2,1
132959,0,0
132960,7,0
132961,2,1
132962,3,2
132963,6,0
132964,2,1
132965,2,2
132966,3,0
132967,0,1
132968,1,0
132969,6,0
132970,7,0
132971,0,2
132972,4,0
132973,0,3
132974,1,2
132975,0,2
132976,1,0
132977,1,3
132978,1,4
132979,0,0
132980,4,0
132981,3,1
132982,1,2
132983,2,1
132984,2,2
132985,0,2
132986,0,4
132987,1,0
132988,1,2
132989,0,2
132990,0,2
132991,1,1
132992,1,6
132993,3,0
132994,5,0
132995,1,2
132996,0,3
132997,9,1
132998,2,1
132999,5,0
133000,6,1
133001,2,0
133002,2,0
133003,3,2
133004,1,0
133005,1,0
133006,6,1
133007,0,5
133008,3,1
569448,1,0
569449,2,1
569450,0,0
569451,1,2
569452,1,1
569453,0,0
569454,2,1
569455,1,3
640594,0,1
640595,1,1
640596,1,2
640597,2,1
657674,0,3
657675,1,1
657676,0,1
657677,3,0
657678,1,0
657679,3,1
657680,3,2
657681,0,2
657682,1,2
657683,0,0

